acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
3560,-16364,-3032,-1177,638,-226,2025-01-29 10:56:39
4100,-15664,-4920,-1319,1745,-41,2025-01-29 10:56:39
3648,-17036,-3268,-1831,1461,744,2025-01-29 10:56:39
3188,-17224,-352,-1595,-2612,-125,2025-01-29 10:56:39
4096,-16080,-2416,-1047,426,-1126,2025-01-29 10:56:39
3656,-16080,-2040,-2445,-1152,-192,2025-01-29 10:56:40
3748,-16148,-2676,-2356,-1167,-338,2025-01-29 10:56:40
3732,-16204,-1996,-1477,-3496,259,2025-01-29 10:56:40
4752,-16752,-76,157,-6506,2144,2025-01-29 10:56:40
5644,-19744,-608,1962,-2290,1040,2025-01-29 10:56:40
3568,-19036,-1828,8355,5179,4451,2025-01-29 10:56:40
-40,-15684,-3712,14474,9660,7152,2025-01-29 10:56:40
2668,-19592,-1284,13042,3689,2074,2025-01-29 10:56:40
1216,-16340,1820,8475,7911,-185,2025-01-29 10:56:40
-1432,-12824,3676,4597,5312,221,2025-01-29 10:56:40
-2148,-11840,4856,-552,-1071,-1968,2025-01-29 10:56:40
-252,-12028,8524,-2850,-2464,-2957,2025-01-29 10:56:40
1380,-12648,12568,-2019,3999,-6265,2025-01-29 10:56:41
2000,-25084,4884,6169,14218,-4668,2025-01-29 10:56:41
5172,-24276,6768,-4658,7689,3796,2025-01-29 10:56:41
-728,-14080,2708,-8597,-729,-6006,2025-01-29 10:56:41
2484,-16072,1912,-6600,-1977,-2075,2025-01-29 10:56:41
2068,-15156,1332,-5777,-1020,-1429,2025-01-29 10:56:41
3440,-16912,3832,-6073,-3726,-2190,2025-01-29 10:56:41
1480,-14208,1504,-7687,-705,-2104,2025-01-29 10:56:41
3108,-16352,1112,-8699,-2640,-2652,2025-01-29 10:56:41
2420,-15180,-1216,-9980,-2656,-1319,2025-01-29 10:56:41
4188,-18740,-4944,-16625,-5485,-5114,2025-01-29 10:56:41
752,-5148,-8312,-29826,-20437,-4688,2025-01-29 10:56:41
3992,-12748,19156,-8123,-10352,6307,2025-01-29 10:56:42
3224,12728,-672,-32768,-7984,11409,2025-01-29 10:56:42
32767,-12120,-16592,-24645,-32768,1003,2025-01-29 10:56:42
-24060,14132,-32768,-5791,17803,2445,2025-01-29 10:56:42
652,8412,-4104,3529,-2298,2183,2025-01-29 10:56:42
-1904,-1032,-10444,-1714,1035,95,2025-01-29 10:56:42
-2260,4072,-15940,-220,-745,889,2025-01-29 10:56:42
-3804,2964,-18128,2613,-1564,-37,2025-01-29 10:56:42
-4176,1888,-20004,2900,-2818,-676,2025-01-29 10:56:43
-4504,1092,-14784,3805,-98,-828,2025-01-29 10:56:43
-4028,1976,-16080,2694,240,-681,2025-01-29 10:56:43
-3820,464,-17756,4193,1105,-337,2025-01-29 10:56:43
-3620,-356,-18604,-3832,-1239,187,2025-01-29 10:56:43
-3456,24,-17780,-2737,-404,-14,2025-01-29 10:56:43
-3104,360,-17532,-1650,-221,-167,2025-01-29 10:56:43
-3768,444,-17496,-1025,-388,-199,2025-01-29 10:56:43
-3820,564,-16732,-350,-102,-150,2025-01-29 10:56:43
-3672,320,-17184,-654,237,-151,2025-01-29 10:56:43
-3532,180,-18024,-624,250,-184,2025-01-29 10:56:43
-3448,192,-17984,-1298,-147,-71,2025-01-29 10:56:43
-3732,308,-17832,-1142,81,-168,2025-01-29 10:56:43
-3628,552,-17676,-1028,-199,-137,2025-01-29 10:56:43
-3760,576,-18240,-654,-430,-172,2025-01-29 10:56:43
-3592,200,-17332,-954,253,-135,2025-01-29 10:56:43
-3460,136,-17332,-1051,53,-135,2025-01-29 10:56:44
-3740,460,-17964,-813,181,-177,2025-01-29 10:56:44
-3564,344,-17408,-1044,97,-127,2025-01-29 10:56:44
-3552,356,-17704,-840,104,-130,2025-01-29 10:56:44
-3840,612,-17736,-1006,-396,-137,2025-01-29 10:56:44
-3700,344,-17160,-1024,197,-170,2025-01-29 10:56:44
-3684,500,-18240,-822,53,-142,2025-01-29 10:56:44
-3540,396,-17560,-1004,-47,-157,2025-01-29 10:56:44
-3768,468,-17668,-850,-172,-122,2025-01-29 10:56:44
-3632,476,-17492,-897,30,-172,2025-01-29 10:56:44
-3500,376,-17772,-960,-45,-94,2025-01-29 10:56:45
-3632,464,-17532,-938,-185,-150,2025-01-29 10:56:45
-3592,352,-17504,-974,-2,-124,2025-01-29 10:56:45
-3584,332,-17660,-881,36,-140,2025-01-29 10:56:45
-3540,428,-17776,-869,-59,-134,2025-01-29 10:56:45
-3672,572,-17624,-889,-53,-131,2025-01-29 10:56:45
-3640,344,-17612,-909,82,-123,2025-01-29 10:56:45
-3672,440,-17592,-902,48,-157,2025-01-29 10:56:45
-3696,396,-17716,-886,-216,-138,2025-01-29 10:56:45
-3608,464,-17688,-865,-111,-125,2025-01-29 10:56:45
